CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE
C10001,-0.432266776744696,-0.24943448080104266,-0.24837108066828895,-0.06581169196664387,0.013656610919954135,0.0,-0.399999280000576,-0.27777666666666667,-0.111112,0.0,0.0,-0.3125,-0.40816326530612246,-0.43159465308158335,-0.279732175359451,0.0,0.36067954425377496
C10002,1.2093737128465103,0.1343246710512249,-0.3374887318483505,-0.06581169196664387,-0.189912245605612,5.784542289562223,-0.599999520000384,-0.27777666666666667,-0.22222266666666668,1.125001125001125,1.0,-0.4375,0.8163265306122449,2.138626095854893,1.2300543473128727,1.5555555555555554,0.36067954425377496
C10003,0.8420992253572657,0.5180838229034924,0.38476592604355925,1.2732310942925675,-0.189912245605612,0.0,0.599999520000384,3.055556666666667,-0.22222266666666668,0.0,0.0,0.3125,0.9183673469387755,-0.15471459166587082,0.5097319088005102,0.0,0.36067954425377496
C10004,0.41191264442678677,-1.0169527845055772,1.0627980513687592,2.5302863674543867,-0.189912245605612,0.18475858443355536,-0.5,0.0,-0.22222266666666668,0.374998874998875,0.25,-0.375,0.9183673469387755,-0.5645465260219409,0.0,0.0,0.36067954425377496
C10005,-0.0289070598824798,0.5180838229034924,-0.3225423752563066,-0.0381015058754254,-0.189912245605612,0.0,-0.5,0.0,-0.22222266666666668,0.0,0.0,-0.375,-0.3673469387755102,-0.11764392009343372,-0.10933409529531743,0.0,0.36067954425377496
C10006,0.48624740850587683,0.5180838229034924,0.9079911629666648,-0.06581169196664387,2.6551012242938303,0.0,0.200000239999808,-0.27777666666666667,0.5555546666666666,0.0,0.0,0.0625,-0.24489795918367346,0.3578438629009021,3.3906000887862446,0.0,0.36067954425377496
C10007,-0.1277998739595625,0.5180838229034924,6.286559021760961,11.022817606359489,1.2789842895628285,0.0,0.599999520000384,3.055556666666667,1.1111106666666666,0.0,0.0,3.5625,2.142857142857143,3.6218224866952373,-0.1849590865690708,7.000007000007,0.36067954425377496
C10008,0.4934255032245055,0.5180838229034924,0.06998631474224541,-0.06581169196664387,0.7408711424075112,0.0,0.599999520000384,-0.27777666666666667,1.1111106666666666,0.0,0.0,0.3125,-0.14285714285714285,-0.11716276907175284,0.3555684456892163,0.0,0.36067954425377496
C10009,0.07349515549982467,0.5180838229034924,0.4672698144316414,1.0798139953758628,0.2368568456429543,0.0,-0.200000239999808,0.0,0.11111066666666665,0.0,0.0,-0.125,0.8163265306122449,-0.11109271173770786,-0.0006159009454319396,0.0,0.36067954425377496
C10010,-0.3744612588595051,-1.4007119363578449,0.8597144311743631,2.1537742139399554,-0.189912245605612,0.0,-0.399999280000576,0.27778,-0.22222266666666668,0.0,0.0,-0.25,1.6326530612244898,0.202831236138816,-0.3431895743985649,0.0,0.36067954425377496
C10011,0.21794944479087588,0.5180838229034924,0.5220388698686121,-0.06581169196664387,1.7734816355925422,0.0,0.599999520000384,-0.27777666666666667,1.1111106666666666,0.0,0.0,0.3125,-0.3673469387755102,0.14915719290905546,3.0109835951839616,0.0,0.36067954425377496
