CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,Credit_Utilization_Ratio,Average_Purchase_Value,Average_Cash_Advance_Value,Proportion_OneOff_Purchases,Proportion_Installment_Purchases,Payment_to_MinPayment_Ratio,Avg_Monthly_Purchases,Avg_Monthly_Cash_Advance,Avg_Monthly_Balance,Cluster
C10001,-0.4322667767446961,-1.6363636363636371,-0.2483710806682889,-0.0658116919666438,0.0136566109199541,0.0,-0.399999280000576,-0.2777766666666666,-0.111112,0.0,0.0,-0.3125,-0.4081632653061224,-0.4315946530815833,-0.279732175359451,0.0,0.0,0.2393789225222503,0.033492674052721,0.0,0.0383729375046908,-0.4335030257629344,0.6027581553437465,-0.3219543324341808,0.0,-0.538219182422462,0
C10002,1.2093737128465103,-0.8181818181818186,-0.3374887318483505,-0.0658116919666438,-0.189912245605612,5.784542289562224,-0.599999520000384,-0.2777766666666666,-0.2222226666666666,1.125001125001125,1.0,-0.4375,0.8163265306122449,2.1386260958548933,1.2300543473128729,1.5555555555555554,0.0,0.4289154773360736,0.0,6.521344837052434,-0.0112492331444784,0.0,0.688733487187924,-0.4252008063344138,9.462948224310402,1.421619770564443,0
C10003,0.8420992253572658,0.0,0.3847659260435591,1.2732310942925675,-0.189912245605612,0.0,0.599999520000384,3.055556666666667,-0.2222226666666666,0.0,0.0,0.3125,0.9183673469387756,-0.1547145916658707,0.5097319088005102,0.0,0.0,0.175618373016045,0.6585877608631762,0.0,2.197252401760832,-0.7413038740524669,-0.2081983551401831,0.4115609989637319,0.0,0.983156628613696,0
C10004,0.4119126444267867,-3.2727272727272734,1.0627980513687592,2.5302863674543867,-0.189912245605612,0.1847585844335553,-0.5,0.0,-0.2222226666666666,0.374998874998875,0.25,-0.375,0.9183673469387756,-0.564546526021941,0.0,0.0,0.0,-0.0345578301334556,-5.163865849994074,0.833165886443336,1.538890824169561,-0.5203187589490189,-247952.7302791368,1.1970891766472338,0.3022470631161955,0.4695871694626547,0
C10005,-0.0289070598824798,0.0,-0.3225423752563066,-0.0381015058754254,-0.189912245605612,0.0,-0.5,0.0,-0.2222226666666666,0.0,0.0,-0.375,-0.3673469387755102,-0.1176439200934336,-0.1093340952953174,0.0,0.0,-0.2004980074579201,0.1270517590542935,0.0,-0.065769128500538,0.018300104016955,0.3977026259638095,-0.4078848358689659,0.0,-0.0566764267554206,0
C10006,0.4862474085058768,0.0,0.9079911629666648,-0.0658116919666438,2.6551012242938303,0.0,0.200000239999808,-0.2777766666666666,0.5555546666666668,0.0,0.0,0.0625,-0.2448979591836734,0.3578438629009022,3.3906000887862446,0.0,0.0,-1.1266824258181958,19.70170279255326,0.0,-0.2009486194913592,1.6572281480419566,-0.0285360615434102,1.0177390125513577,0.0,0.5583302085915021,0
C10007,-0.1277998739595625,0.0,6.286559021760961,11.022817606359489,1.2789842895628285,0.0,0.599999520000384,3.055556666666667,1.1111106666666668,0.0,0.0,3.5625,2.142857142857143,3.621822486695237,-0.1849590865690708,7.000007000007,0.0,-0.2625655986012448,1.4225257776763671,0.0,1.09395424126766,-0.2521371772676037,-8.67537330705858,7.249031676802808,0.0,-0.1747375920517402,0
C10008,0.4934255032245055,0.0,0.0699863147422453,-0.0658116919666438,0.7408711424075112,0.0,0.599999520000384,-0.2777766666666666,1.1111106666666668,0.0,0.0,0.3125,-0.1428571428571428,-0.1171627690717527,0.3555684456892163,0.0,0.0,-1.785572416015472,-0.7840582651831025,0.0,-0.8164292573894921,7.034113426070568,-0.219611808260774,0.0468758384798588,0.0,0.5668996302931446,0
C10009,0.0734951554998245,0.0,0.4672698144316413,1.0798139953758628,0.2368568456429543,0.0,-0.200000239999808,0.0,0.1111106666666666,0.0,0.0,-0.125,0.8163265306122449,-0.1110927117377077,-0.0006159009454319,0.0,0.0,-0.1954099853217736,-6.45865294032237,0.0,1.4893318878832158,-0.0391805429546581,79.2755669192411,0.5071451559330042,0.0,0.0655743655775404,0
C10010,-0.3744612588595052,-4.090909090909092,0.8597144311743631,2.1537742139399554,-0.189912245605612,0.0,-0.399999280000576,0.27778,-0.2222226666666666,0.0,0.0,-0.25,1.6326530612244898,0.2028312361388161,-0.3431895743985649,0.0,0.0,-0.338715637890874,-6.029970298737245,0.0,1.6271443599965725,-0.5499418694658456,-0.3344698093291567,0.961808427947961,0.0,-0.4692092461012707,0
