CUST_ID,BALANCE_FREQUENCY,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PRC_FULL_PAYMENT,TENURE,BALANCE_FREQUENCY_to_ONEOFF_PURCHASES_ratio,BALANCE_FREQUENCY_to_INSTALLMENTS_PURCHASES_ratio,BALANCE_FREQUENCY_to_CASH_ADVANCE_ratio,BALANCE_FREQUENCY_to_PURCHASES_FREQUENCY_ratio,ONEOFF_PURCHASES_to_INSTALLMENTS_PURCHASES_ratio,ONEOFF_PURCHASES_to_CASH_ADVANCE_ratio,ONEOFF_PURCHASES_to_PURCHASES_FREQUENCY_ratio,INSTALLMENTS_PURCHASES_to_CASH_ADVANCE_ratio,INSTALLMENTS_PURCHASES_to_PURCHASES_FREQUENCY_ratio,CASH_ADVANCE_to_PURCHASES_FREQUENCY_ratio
C10001,-1.4961027419663409,-0.022840588549210946,0.046913494569554806,0.0,-0.299999760000192,-0.333332,-0.111112,0.0,0.0,-0.35714285714285715,-0.4444444444444444,0.0,0.0,0.8181819999707362,-1.698521089207102e-12,0.6363640000005291,0.2904346874594184,-0.005156233332241626,-7.452727069121485e-14,-0.02332009826195898,0.34373733279215524,0.680418284328887,0.0
C10002,-0.7480513709831704,-0.022840588549210946,-0.17377424615704917,6.396401342638738,-0.5,-0.333332,-0.22222266666666668,1.499997000006,1.0,-0.5,0.8888888888888888,2.0,0.0,0.9090909999708838,0.9090909999914801,-0.18181800000001008,82644276.65116298,-0.005156233332241626,-7.452727069121485e-14,-0.02332009826195898,-7.105915613885942e-13,-0.2775950448045045,242838539.00348645
C10003,0.0,1.5490025666437954,-0.17377424615704917,0.0,0.699999040000768,3.666668,-0.22222266666666668,0.0,0.0,0.35714285714285715,1.0,0.0,0.0,-2.9299770683591695e-11,0.9999999999916556,0.8181820000006802,-0.06493487130352757,111410756204.69566,5.0401395022896525,0.6837544265376798,-7.105915613885942e-13,-0.2775950448045045,0.0
C10004,-2.9922054839326804,3.024604203196869,-0.17377424615704917,0.2043013947131614,-0.400000479999616,0.0,-0.22222266666666668,0.499997000006,0.25,-0.42857142857142855,1.0,0.0,0.0,-3.016862161814002e-11,0.6363639999909537,-0.18181799999705886,0.5383714543702056,216000004592.57672,4.740967138164409e-11,16.42701719860293,-7.105915613885942e-13,-0.2775950448045045,0.09307567941164127
C10005,0.0,0.009687174404716526,-0.17377424615704917,0.0,-0.400000479999616,0.0,-0.22222266666666668,0.0,0.0,-0.42857142857142855,-0.4,0.0,0.0,3.190685269426568e-11,0.9999999999916556,0.8181820000006802,0.9350651286964724,2305537073.698186,0.10430077736665677,0.1522672244530765,-7.105915613885942e-13,-0.2775950448045045,0.0
C10006,0.0,-0.022840588549210946,2.910487294261887,0.0,0.299999760000192,-0.333332,0.5555546666666666,0.0,0.0,0.07142857142857142,-0.26666666666666666,0.0,0.0,0.9999999999710315,-9.5248223248301e-12,0.8181820000006802,-0.019480591900231846,-0.005156233332241626,-7.452727069121485e-14,-0.02332009826195898,4.803963428364826,3.0696322433607777,0.0
C10008,0.0,-0.022840588549210946,0.8352822790520142,0.0,0.699999040000768,-0.333332,1.1111106666666666,0.0,0.0,0.35714285714285715,-0.15555555555555556,0.0,0.0,0.9999999999710315,-7.982325961978678e-12,0.8181820000006802,-0.06493487130352757,-0.005156233332241626,-7.452727069121485e-14,-0.02332009826195898,1.5716795027691852,0.4524647945180669,0.0
C10009,0.0,1.3219587812253817,0.28888349121528617,0.0,-0.10000071999942402,0.0,0.11111066666666665,0.0,0.0,-0.14285714285714285,0.8888888888888888,0.0,0.0,-2.9081408651307367e-11,-5.2748523260463815e-12,0.8181820000006802,0.11688279148923549,0.471434303816633,4.312120076269869,1.7915066314254078,0.7206233391876874,0.7266148147869915,0.0
C10010,-3.740256854915851,2.5826332240603795,-0.17377424615704917,0.0,-0.299999760000192,0.333336,-0.22222266666666668,0.0,0.0,-0.2857142857142857,1.7777777777777777,0.0,0.0,-3.0167542589070334e-11,0.5454549999907782,0.36363700000030236,0.14167545125348618,184673519603.63254,8.354492267075102,7.008910025119752,-7.105915613885942e-13,-0.2775950448045045,0.0
C10011,0.0,-0.022840588549210946,1.954728940398117,0.0,0.699999040000768,-0.333332,1.1111106666666666,0.0,0.0,0.35714285714285715,-0.4,0.0,0.0,0.9999999999710315,-9.188037562738374e-12,0.8181820000006802,-0.06493487130352757,-0.005156233332241626,-7.452727069121485e-14,-0.02332009826195898,3.315299734269433,1.2623927116317275,0.0
