Unnamed: 0,vehicle_count,average_speed,lane_occupancy,flow_rate,time_of_day,waiting_time,generated_id
0,54,10.21610042572172,59.92021794077329,1467,evening,12.524457654735295,0
1,75,63.642159807277295,87.63482129971159,1098,afternoon,44.828142436957634,1
2,95,37.38076003505957,0.76582305290257,1411,night,80.43842579813207,2
3,87,59.81208647873383,75.96124576725738,892,evening,11.263687396074127,3
4,38,48.431820611309945,43.52847751132492,949,night,18.1415487045034,4
5,36,62.27968757478156,12.406016385025842,1223,evening,2.747429600346722,5
6,96,49.780697944782055,58.24577391535629,712,morning,10.479951710132456,6
7,87,25.05420155383369,53.26149235804728,779,morning,23.705777393187528,7
8,69,17.807287890432256,84.2308038142738,714,evening,5.96040956261912,8
9,110,23.0691305542554,52.1562743100951,831,evening,23.10101338903957,9
10,111,27.73434101482181,82.73518700680273,1452,night,11.2574458566156,10
11,113,58.76765275021795,54.448924622808384,938,night,138.29978543787325,11
12,98,69.20409835393603,44.69455833460108,1389,evening,14.134310183077828,12
13,117,43.77437405754377,37.11839006616762,904,evening,1.1951814218100016,13
14,95,32.075512063634235,17.369743820500883,609,night,19.214044374972147,14
15,33,50.609776285710645,58.40308804431304,941,evening,12.19496153434912,15
16,71,10.528065367601606,54.42502855142616,892,morning,13.86241980772841,16
17,106,62.38552379876185,97.57396515980663,1237,night,13.88648292892929,17
18,99,48.569828570700594,41.24088007616159,1420,morning,63.90187872926135,18
19,39,51.47436948471928,42.15232630947271,1216,night,20.690469807302883,19
20,73,39.26742604786211,16.38713849693091,602,evening,8.744318623458515,20
21,104,37.522759025980925,59.75715546021587,748,afternoon,47.17923340401922,21
22,37,17.012348335082322,84.78522690371263,1440,night,17.57975770497739,22
23,119,67.35718396387432,24.792316458470697,902,night,4.712092449578243,23
24,106,24.79368334325295,0.9077900645225844,1121,afternoon,195.0351552530388,24
25,99,35.58340461180054,69.1473623345854,883,afternoon,0.8321696882195796,25
26,63,31.04324124083616,3.137379165179333,578,morning,37.05708224167691,26
27,68,66.6567747157433,40.92762993200161,891,evening,56.42883398741575,27
28,121,38.31368240640688,61.27103377250337,1255,afternoon,13.100004668876746,28
