PetalWidthCm,Species
-0.7999999999999999,Iris-setosa
-0.7999999999999999,Iris-setosa
-0.7999999999999999,Iris-setosa
-0.7999999999999999,Iris-setosa
-0.7999999999999999,Iris-setosa
-0.6666666666666666,Iris-setosa
-0.7333333333333333,Iris-setosa
-0.7999999999999999,Iris-setosa
-0.7999999999999999,Iris-setosa
-0.8666666666666666,Iris-setosa
-0.7999999999999999,Iris-setosa
-0.8666666666666666,Iris-setosa
-0.7999999999999999,Iris-setosa
-0.6666666666666666,Iris-setosa
-0.7333333333333333,Iris-setosa
-0.7333333333333333,Iris-setosa
-0.6666666666666666,Iris-setosa
-0.6,Iris-setosa
-0.6666666666666666,Iris-setosa
-0.8666666666666666,Iris-setosa
-0.7999999999999999,Iris-setosa
-0.7333333333333333,Iris-setosa
-0.5333333333333333,Iris-setosa
-0.6666666666666666,Iris-setosa
-0.7333333333333333,Iris-setosa
-0.7999999999999999,Iris-setosa
-0.7999999999999999,Iris-setosa
0.0,Iris-versicolor
0.06666666666666672,Iris-versicolor
0.06666666666666672,Iris-versicolor
-0.06666666666666658,Iris-versicolor
-0.06666666666666658,Iris-versicolor
0.13333333333333344,Iris-versicolor
-0.2666666666666666,Iris-versicolor
-0.06666666666666658,Iris-versicolor
0.0,Iris-versicolor
-0.2666666666666666,Iris-versicolor
0.06666666666666672,Iris-versicolor
-0.2666666666666666,Iris-versicolor
0.0,Iris-versicolor
0.0,Iris-versicolor
-0.2666666666666666,Iris-versicolor
-0.19999999999999987,Iris-versicolor
0.06666666666666672,Iris-versicolor
-0.1333333333333333,Iris-versicolor
0.0,Iris-versicolor
0.0,Iris-versicolor
0.20000000000000004,Iris-versicolor
0.06666666666666672,Iris-versicolor
-0.2666666666666666,Iris-versicolor
-0.19999999999999987,Iris-versicolor
-0.1333333333333333,Iris-versicolor
0.13333333333333344,Iris-versicolor
0.13333333333333344,Iris-versicolor
-0.06666666666666658,Iris-versicolor
-0.06666666666666658,Iris-versicolor
-0.1333333333333333,Iris-versicolor
-0.2666666666666666,Iris-versicolor
-0.06666666666666658,Iris-versicolor
-0.1333333333333333,Iris-versicolor
0.7333333333333334,Iris-virginica
0.3333333333333333,Iris-virginica
0.4666666666666668,Iris-virginica
0.2666666666666668,Iris-virginica
0.5333333333333335,Iris-virginica
0.20000000000000004,Iris-virginica
0.2666666666666668,Iris-virginica
0.7333333333333334,Iris-virginica
0.4000000000000001,Iris-virginica
0.4000000000000001,Iris-virginica
0.6666666666666666,Iris-virginica
0.6,Iris-virginica
0.2666666666666668,Iris-virginica
0.5333333333333335,Iris-virginica
0.6,Iris-virginica
0.4000000000000001,Iris-virginica
0.2666666666666668,Iris-virginica
0.4666666666666668,Iris-virginica
0.2666666666666668,Iris-virginica
0.4666666666666668,Iris-virginica
0.13333333333333344,Iris-virginica
0.3333333333333333,Iris-virginica
0.4000000000000001,Iris-virginica
0.5333333333333335,Iris-virginica
0.0,Iris-virginica
0.6,Iris-virginica
0.6666666666666666,Iris-virginica
0.2666666666666668,Iris-virginica
0.4666666666666668,Iris-virginica
0.6666666666666666,Iris-virginica
0.6,Iris-virginica
0.3333333333333333,Iris-virginica
0.4000000000000001,Iris-virginica
0.6,Iris-virginica
